Type of Noise,junk,PSNR_noisy,PSNR_denoisy,SSIM_noisy,SSIM_denoisy,CW-SSIM_noisy,CW-SSIM_denoisy,unique_noisy,unique_denoisy,ms_unique_noisy,ms_unique_denoisy,csv_noisy,csv_denoisy,summer_noisy,summer_denoisy
deco_lvl_3,0,29.251846607574166,30.61535314288866,0.9665418369627413,0.9538622196544686,0.8822787470601144,0.9538622196544686,0.5780664741551503,0.5728469638711,0.729475537015692,0.7282075608119479,0.9639055490550796,0.9666484977152581,3.753052643521642,2.9355923249229687
deco_lvl_3,1,30.04378800402519,31.253028906302728,0.9933087355985853,0.991352923151418,0.8645785430923031,0.991352923151418,0.49925074090711635,0.5534241110743846,0.8183399710262986,0.8339050975529219,0.9824875317214652,0.9810165941156265,4.512228190923553,4.381223077318077
deco_lvl_3,2,31.100902351662775,31.088820904185003,0.9917616739724222,0.9907209372672108,0.8504664771119846,0.9907209372672108,0.5054257888398741,0.5392049336182712,0.782036396002552,0.8002956783839844,0.980165159514344,0.9791947933157715,3.951483223922485,3.3672086933827927
deco_lvl_3,3,28.722206854180094,30.172564806325365,0.9778823012879224,0.9540850499363367,0.9311123205310106,0.9540850499363367,0.5766369035917679,0.5806538790938699,0.7470555472092529,0.7407943939406234,0.9670602059727113,0.9696174491168137,3.9982075404721247,3.2164232249965696
deco_lvl_3,4,28.635408734565118,30.421626102768467,0.9839052990917718,0.9622261614435124,0.9406756836057185,0.9622261614435124,0.6373667152004505,0.6577408731681705,0.7740412229259916,0.7759141172070945,0.9698091540668103,0.9722794989127636,4.1509739584136485,3.343202937061638
deco_lvl_4,0,28.825745963987384,30.02125873338286,0.9608407575139627,0.9396300713731067,0.8590400731506014,0.9396300713731067,0.4811346948971368,0.48142144270816306,0.6739384312265952,0.6769509896987264,0.9584247039961165,0.9629098630870809,3.6235573370139633,2.4460840045155625
deco_lvl_4,1,29.60742849907482,30.44106029446926,0.9923962981394483,0.9896940378545734,0.8608174796790594,0.9896940378545734,0.3386536638070236,0.3631378336594462,0.7676727744923812,0.7777718773772896,0.9809592458202243,0.9802683929821168,4.545883884062146,4.398974732347966
deco_lvl_4,2,30.39972017513781,30.302130614974082,0.9915174198734478,0.9887872788374058,0.8355144639240808,0.9887872788374058,0.3837997654595483,0.4436406628964011,0.7284605858925186,0.7549101249734564,0.9771854817757004,0.9762303031216155,3.0776963498789343,2.5907858524684646
deco_lvl_4,3,28.280226146297625,29.487556716147616,0.9711811768788151,0.9285857746213244,0.9031702328304801,0.9285857746213244,0.4011874006579047,0.40185129922538404,0.6564534708641241,0.6372874114546467,0.9600868284625582,0.9640741404889026,3.8901901977012363,2.7655508933332755
deco_lvl_4,4,28.2749409612688,29.531506966371573,0.9771106842392859,0.9377186230796422,0.9125929055414125,0.9377186230796422,0.4348394964196178,0.4513345919496636,0.6732278099182997,0.6621320850245043,0.9619847129598709,0.9662748720057378,4.037014332251763,2.796531846366732
