,Noise Type,PSNR_noisy,PSNR_denoisy,SSIM_noisy,SSIM_denoisy,CW-SSIM_noisy,CW-SSIM_denoisy,unique_noisy,unique_denoisy,ms_unique_noisy,ms_unique_denoisy,csv_noisy,csv_denoisy,summer_noisy,summer_denoisy
10,Contrast Adjusted,28.3500992839391,47.08649476867158,0.855541605778418,0.9966337987858997,0.92364436023609,0.9966337987858997,0.939075346291529,0.992145248439676,0.9128234418024763,0.9898422096927463,0.9841510308822982,0.9946752072809933,2.688670708383778,4.774108682328837
11,Contrast Adjusted,28.844573029278134,39.932750463038424,0.8992654950132155,0.9843798622234403,0.9301988308004737,0.9843798622234403,0.9157422389127733,0.9579672763365217,0.891267481320211,0.950694019711138,0.9793031640173386,0.9870382796864674,2.8630172555338698,4.309425627659874
12,Noise,28.37531529582656,29.372938470221666,0.3625958180809527,0.42851256444632185,0.8783329110919258,0.42851256444632185,0.47944047880273266,0.5591148641357838,0.713000245082742,0.7547263685403144,0.9779031696060789,0.9767243895184834,4.186061817527212,4.247265435141607
13,Noise,28.407754336063817,29.92360154808299,0.29599359461712355,0.3235472450300037,0.8274290611237699,0.3235472450300037,0.4331635902758895,0.4677768330088481,0.6768386316464986,0.7021235514668517,0.9808954264912667,0.976107479438724,4.036605494134796,4.3101498497094015
14,Noise,28.412366913546595,28.677036140693527,0.3974289108182984,0.42027825049683787,0.9634868056060475,0.42027825049683787,0.5825945758747675,0.6062828198368613,0.7201766946309167,0.7386393657078351,0.9819566467116206,0.9775778542861739,4.157725803575826,4.323306370131782
15,Noise,28.42123268091417,28.629011413558963,0.5098769803224268,0.5297047247535398,0.9625936092046747,0.5297047247535398,0.6773236001441246,0.6948353243862556,0.760084167126877,0.7738901177543123,0.9806424650001562,0.9777581710963478,4.142824971961225,4.2299807989345055
16,Noise,28.41261015148597,28.75866413561463,0.48675681922929276,0.5138970637994542,0.9325161643741847,0.5138970637994542,0.6450460570294279,0.6605694443383914,0.7688448807928672,0.7744369814877605,0.9834697514421712,0.9779476025242154,4.125543116359761,4.305378566143748
17,Noise,28.39881944546683,29.243234242210853,0.4018544827978241,0.5012622919772864,0.8595508074642669,0.5012622919772864,0.54426511682123,0.6487993419868016,0.7205629472127949,0.7768632777019479,0.9785467687185082,0.9768644486632272,4.101869565016721,4.330986449046394
18,Noise,28.4820644793029,28.855895100374987,0.41119748994433253,0.43329957248909584,0.9227343499098685,0.43329957248909584,0.5787445984074561,0.6059439869854436,0.7408618594929681,0.7580804133387106,0.9800884432329566,0.9780892422255758,4.163005044379555,4.216377089437801
19,Noise,29.6325164639306,29.908122322179622,0.6256470784187386,0.6435306884964926,0.9833605632662321,0.6435306884964926,0.8059694207977078,0.8131976973350046,0.8781675376000943,0.8832741583733312,0.9874044306555738,0.9852970574559673,4.38066112157079,4.431068093245942
20,Noise,29.661062587272475,29.837318225752337,0.7284226587554838,0.7419924994872449,0.9892781593532052,0.7419924994872449,0.8491024394369142,0.8546012368094182,0.8953384133063926,0.8977768036163433,0.9874111243609509,0.9858013616718085,4.408158639771809,4.424343656022399
21,Noise,29.65347840584848,29.951582988471067,0.6823857313386844,0.7113709633694971,0.9300412568661683,0.7113709633694971,0.7967230147264227,0.8093386526116846,0.8864292019370873,0.8888944402961023,0.9856609935016114,0.9845462202348675,4.399888272471085,4.4201987148747826
22,Noise,29.656080002544915,30.03045112140144,0.6982630875351803,0.7226399036740079,0.9846171351184559,0.7226399036740079,0.8366132763379142,0.8464083450306554,0.8864941181139183,0.8916869173719818,0.9880227731885076,0.9863860982130801,4.407612564789135,4.436795170762621
