,PSNR_noisy,PSNR_denoisy,SSIM_noisy,SSIM_denoisy,CW-SSIM_noisy,CW-SSIM_denoisy,unique_noisy,unique_denoisy,ms_unique_noisy,ms_unique_denoisy,csv_noisy,csv_denoisy,summer_noisy,summer_denoisy
12,28.65738366879604,29.488964764394233,0.5538721462596016,0.7407239429748913,0.9583753079201923,0.7407239429748913,0.7380361133988271,0.7012553935283675,0.8077696144845727,0.7760159922039152,0.9692661435876222,0.9688601935077346,3.5768213286019805,4.032717738784697
13,28.21569989012933,29.27153739563678,0.34477188598180386,0.61591765426957,0.8679234353976463,0.61591765426957,0.5089800648536591,0.5464637483666082,0.6616588699595837,0.6743963355446148,0.964462396050256,0.966559415476329,2.8316655215020448,2.707777283232406
14,28.596140775734025,29.50240103574862,0.5413357476148545,0.734468165137259,0.9583899128587199,0.734468165137259,0.7434116641955366,0.6978408573087802,0.809841405683523,0.7675687087955734,0.9693379163008914,0.9679496870035655,3.5591436428799783,3.955178861214876
15,38.66604787708063,30.812643355606617,0.9769179112870195,0.9068219271741458,0.9954373460113284,0.9068219271741458,0.9847338057992613,0.867688303370716,0.9846422822050844,0.8960986620125356,0.991365301079868,0.976023070684147,4.701904681223741,4.184398911365262
16,35.76872247907896,27.602543959028875,0.9299668091006136,0.5485109313758169,0.9811132541016289,0.5485109313758169,0.9698546827505944,0.6335132121460944,0.9756275321148177,0.6531359718129335,0.9866253321662258,0.9592099173059598,4.630665177611719,1.2980064725652918
17,31.143331185764684,27.646037136395897,0.767110855141906,0.6939778244367205,0.9550907494661394,0.6939778244367205,0.9033130452861069,0.7039975297243818,0.942160360577699,0.7550365685505818,0.9801587687857802,0.9624959938375053,4.098842747636208,1.8482176168401407
18,32.95377925125054,30.32116506141513,0.9190022710813631,0.8656762063028017,0.9939019938091185,0.8656762063028017,0.967235974266461,0.8216396134114291,0.97264894525941,0.8652848385373109,0.9871679923538377,0.9739652374609737,4.516622582312028,3.879906177467214
19,37.1614366473314,30.580994936297262,0.9643148065095537,0.91699454808438,0.9948329034617744,0.91699454808438,0.982189258131043,0.8893458876458364,0.9820237683650093,0.8997100883372,0.9893338977589973,0.9748274411212761,4.701018188834412,4.006546379917228
20,31.0288723543033,30.850634173412338,0.8389772546757313,0.8876385697956645,0.9855421243914889,0.8876385697956645,0.9439767923139861,0.8436301909455148,0.9543094061329152,0.8751402005884565,0.9835159146416783,0.9732083020945562,4.373428797739159,4.245408296960036
21,35.22888433793431,27.64009316475349,0.9402589638406752,0.7727178277448072,0.9920072788901507,0.7727178277448072,0.9705513308064009,0.7807295937088503,0.9767952285724347,0.7896076361281882,0.9876013892504126,0.9642492845772891,4.607568203590091,2.117572776054652
22,30.159597761311318,28.109347624729203,0.7345756921315186,0.8153149383007929,0.9707913976939986,0.8153149383007929,0.8795923140300975,0.784478175439791,0.9285013283525074,0.8332036214650674,0.9772667746899133,0.9670157543993247,4.087235155815987,2.7686940426711555
23,31.279133713074074,27.710814849907884,0.8026156371167492,0.7259811356233568,0.9451259979603457,0.7259811356233568,0.9010800421121163,0.66980905553388,0.9410527937243699,0.753547811861935,0.9806668004200801,0.9623298885886661,4.257693477201471,1.88382943395436
24,31.943005255321005,28.040987305083522,0.8633945752931756,0.874898569043177,0.9668631146970253,0.874898569043177,0.9220704229632914,0.7775838904441262,0.9492812239647767,0.8453228809737503,0.9785870467120681,0.9682566942706163,4.466998561569983,2.8779694059886256
25,32.751446880399385,30.30422160123362,0.9261237919016081,0.8988483579390342,0.9933342414426806,0.8988483579390342,0.9709553502557706,0.8498118293767348,0.9714802937161693,0.8741609847980278,0.9792047530963506,0.9734587712335897,4.254224106746286,4.021413983089422
