,noise_type,noise_level,PSNR_noisy,PSNR_denoisy,SSIM_noisy,SSIM_denoisy,CW-SSIM_noisy,CW-SSIM_denoisy,unique_noisy,unique_denoisy,ms_unique_noisy,ms_unique_denoisy,csv_noisy,csv_denoisy,summer_noisy,summer_denoisy
236,Diry Lens 1,4,27.78889248940175,27.689454829630044,0.17596114816888386,0.23886852945353448,0.3348081133910832,0.23886852945353448,8.979190344533548e-05,9.168346826034536e-05,0.05401883451536922,0.05465552171816933,0.9513639121791464,0.9509928900914134,1.5597884785714826,1.5404490861358424
237,Diry Lens 1,4,27.750111128526257,27.719959517440063,0.1891688782587816,0.2489228208710013,0.3486959712917117,0.2489228208710013,0.0002238259503497073,0.00022824433383690875,0.0730666531573798,0.07393798204731038,0.9499542944730481,0.9482793156715627,1.8160574732989958,1.7969505573899585
238,Diry Lens 1,4,27.802703048581133,27.711341278996695,0.17612724396556112,0.23828731991033245,0.3292232658161928,0.23828731991033245,7.781623397755519e-05,7.966416855808699e-05,0.05303517446330595,0.05371921410989759,0.9495927352386861,0.9485195590017795,1.1447648498285232,1.1300500063764427
239,Diry Lens 1,4,27.755513115048526,27.72209177094129,0.17771432168002127,0.23691488748406658,0.4474449247994899,0.23691488748406658,0.0017454925762156385,0.001778651652484814,0.11423398767542042,0.11539113235103639,0.9479950113152235,0.9456885399317794,1.778951990350085,1.7618665723021651
240,Diry Lens 2,1,31.03243246412147,27.922233286887046,0.536365406769318,0.6292036932079206,0.5194283101430252,0.6292036932079206,0.002611410389067728,0.0025654111605983914,0.19621916962907382,0.19598257976413616,0.9603001729131908,0.9601985209214204,1.6603130541333808,1.6545916139431014
241,Diry Lens 2,1,31.052151538352124,27.90716655695148,0.5609966067895239,0.655727068841025,0.6275305368837327,0.655727068841025,0.011057699603397371,0.010907389802900028,0.27863677582478996,0.2783243718225727,0.9607394124490407,0.9601724327928329,2.2305380053797834,2.21870831668279
242,Diry Lens 2,1,30.98805759794717,27.87674417329015,0.5606174198962832,0.6601995488252157,0.5196197785151835,0.6601995488252157,0.0017900954352861808,0.0017576338742809438,0.14532832188714395,0.14510795683327993,0.9604453350403455,0.9605568332289527,1.1232110561235662,1.1169810989234858
243,Diry Lens 2,1,31.518886038209303,27.990270518135855,0.5938281112153256,0.656204923554072,0.6617499631284576,0.656204923554072,0.0622773077774303,0.06183667692327363,0.42177031306455454,0.42102857857258075,0.9613708054993978,0.9616032822550092,2.972187392213787,2.975911023062598
244,Diry Lens 2,1,30.904319382503118,27.92712510479347,0.5314709199983613,0.625037288016847,0.5993806121535341,0.625037288016847,0.00522227901932469,0.0051851430702873486,0.20468104526617387,0.20486233412108223,0.9598339197557207,0.9599065885979894,2.059571765669384,2.054676145949223
245,Diry Lens 2,1,30.967106159062126,27.886756755507616,0.5292483898463979,0.6277432997625334,0.5223645558868103,0.6277432997625334,0.0017323522148953224,0.0016917229550889117,0.17558053470694784,0.17524128146411072,0.9592948331868391,0.9592957501285061,2.026949667623263,2.0155484807360518
246,Diry Lens 2,1,30.91851525425731,27.893063612460246,0.5327853837334481,0.6319344276175458,0.5392336853930226,0.6319344276175458,0.0015695443461360035,0.0015267251524253823,0.14897756909954668,0.14829159279075502,0.9604087603166364,0.9600220038559724,2.129412913884606,2.1255480882518336
247,Diry Lens 2,1,31.20187804593625,27.953313216499282,0.5562480687386191,0.6388338591963363,0.5664178958849574,0.6388338591963363,0.012694857844265023,0.01247836702552216,0.29935091761286725,0.29864107697721815,0.9612233788781234,0.9610406542102677,2.8018163442184822,2.7925361372728235
248,Diry Lens 2,1,30.921936017632813,27.892872056785542,0.543089837518165,0.6399621089186478,0.5431083662283159,0.6399621089186478,0.0019526021849842164,0.0018974407478700053,0.1641623305333188,0.16362603704425016,0.9596684009305001,0.960052281685656,1.6508832804329203,1.645073198548756
249,Diry Lens 2,1,31.80788085405129,28.13961338072719,0.596406204674557,0.6361882224296657,0.7180871381483729,0.6361882224296657,0.11703017860358803,0.11365951304558511,0.48936774526837784,0.48624857496242685,0.962524230673129,0.9606670510086062,2.7001022871008296,2.686711587533979
250,Diry Lens 2,2,28.714130215174688,27.533619907410873,0.3491825993358667,0.4394422159459738,0.3823287337189062,0.4394422159459738,8.255187150255051e-05,8.210271041374025e-05,0.09708958222125753,0.09737767869434391,0.9521692521569196,0.9519667031898302,1.072579095016575,1.0677808757101903
251,Diry Lens 2,2,28.725071262013927,27.50170736238047,0.37254424523619395,0.467627111142046,0.48993773724561684,0.467627111142046,0.0005942620197093913,0.0005955979022489893,0.13640474659520305,0.1369449064937458,0.9535517941245686,0.9541990470044244,1.8233195244177314,1.8148001187491358
252,Diry Lens 2,2,28.691803096832473,27.470639674673482,0.3794901184281959,0.48121952656850864,0.3868764972417404,0.48121952656850864,2.5063367274441447e-05,2.5763229595297422e-05,0.061769423505135854,0.06243528326919135,0.9537319210752343,0.9536210158091966,0.9064665999760025,0.9008354168354675
253,Diry Lens 2,2,28.972262646717134,27.571073813242574,0.40349790522326745,0.4628664757938789,0.5251919697424839,0.4628664757938789,0.0066696468202688385,0.006617115554648913,0.21895391110461557,0.2190276137291208,0.9522164841634735,0.9527284790367938,2.365621706916199,2.366746047450536
254,Diry Lens 2,2,28.629477941385332,27.528755274135996,0.3369154175238131,0.42602772725981375,0.4623508663450452,0.42602772725981375,0.00015725783526105322,0.00015770125438317566,0.08515954382838656,0.08557868495768542,0.9513303735832689,0.9525081150247756,1.6027306771295955,1.5979974977302838
255,Diry Lens 2,2,28.678697017572645,27.49276442376056,0.3414447543903324,0.43711733137253506,0.38839130708403596,0.43711733137253506,3.117984474523594e-05,3.132388845909536e-05,0.0791922604694731,0.0796315049911254,0.9513950788425362,0.9511490437828933,1.5649196592055117,1.5581401616104353
256,Diry Lens 2,2,28.645822400017877,27.486138216195727,0.34512068122232614,0.44279575398158577,0.4062562353608654,0.44279575398158577,2.118827681209162e-05,2.1432316407118277e-05,0.06586390243325416,0.06608556054803973,0.952154431144516,0.9521921864702515,1.8565074322317412,1.8529563153609154
257,Diry Lens 2,2,28.811811911012583,27.55534867681185,0.36461871386266853,0.4434911671881669,0.422511658095848,0.4434911671881669,0.0005883400063245474,0.0005942056284770277,0.14161367569170583,0.14238868201566193,0.9522494092282068,0.9521874459149638,2.267178925012063,2.2570690232352977
