Type of Noise,junk,PSNR_noisy,PSNR_denoisy,SSIM_noisy,SSIM_denoisy,CW-SSIM_noisy,CW-SSIM_denoisy,unique_noisy,unique_denoisy,ms_unique_noisy,ms_unique_denoisy,csv_noisy,csv_denoisy,summer_noisy,summer_denoisy
deco_lvl_1,0,30.742401249038803,27.722169981511826,0.9584588654219822,0.5292929892116857,0.9662222134749435,0.5292929892116857,0.7471277912562988,0.08625932627755784,0.8256717275515697,0.24334472679976588,0.9749275192127106,0.93597375811538,4.261032488081799,4.998013997411744
deco_lvl_1,1,32.74577802048617,27.88980977728726,0.9888735596473368,0.6888148061143162,0.9652973435238832,0.6888148061143162,0.8164421526809001,0.002766646926566111,0.890098133841047,0.10901965794260769,0.9807861517985916,0.9560947030583254,4.682897937880533,4.9960273285695065
deco_lvl_1,2,32.288062159351284,28.072722744576232,0.9852094057000274,0.7068400491211072,0.9532567182735271,0.7068400491211072,0.7661038523792145,0.027346568459242583,0.8583334158707694,0.2068856326025692,0.9753613080217883,0.9525542715582471,3.9689786717247575,4.853012685654746
deco_lvl_1,3,32.09415069016371,27.726145697502407,0.979283362307573,0.4870496766547737,0.9935009808623861,0.4870496766547737,0.8599222391236419,0.01395010016695988,0.891540649798586,0.12492376433584737,0.9793965378012505,0.9356781026975058,4.4062784025637605,4.99831579826055
deco_lvl_1,4,32.280559001087326,27.74113342526573,0.9896591839041295,0.49212290508384104,0.9954309102734871,0.49212290508384104,0.910950917384049,0.013664233330494265,0.9234554776137606,0.1228364553803733,0.9815632129075316,0.9349731298941242,4.503883358155893,4.998174524956466
deco_lvl_2,0,29.621481859963914,27.719271301255777,0.9546662903426555,0.52709896511874,0.9451067976734029,0.52709896511874,0.6925680233287844,0.07871127464537969,0.7933773778569797,0.234470216160661,0.9689222259111054,0.9353259455175758,4.137427977072592,4.997912525895853
deco_lvl_2,1,31.419357878013592,27.87508775228137,0.9890743736649018,0.6856398024083186,0.9739404521993045,0.6856398024083186,0.7997642106252822,0.0015244052451253442,0.8775312719776978,0.09451552222666545,0.9783003282249071,0.9559288926919832,4.533019469507057,4.995594514723883
deco_lvl_2,2,31.3409278322557,28.091583757042198,0.9843020651064807,0.7045999929815846,0.9473976721173869,0.7045999929815846,0.6180808722838137,0.01893063845309221,0.789663717635481,0.18364472862094766,0.9738701610909617,0.9531874790662243,4.312205784210914,4.860710577711665
deco_lvl_2,3,29.51929252518203,27.725543021321673,0.9738378947395263,0.4840724816248347,0.9838993262722351,0.4840724816248347,0.7756094294366198,0.01220760719834783,0.841406959123544,0.12013723610863444,0.9737772552230779,0.9355199388071922,4.316696234154162,4.998381628955953
deco_lvl_2,4,29.575736703091323,27.737912713420073,0.9845904320144078,0.4893385510982024,0.9853305174396977,0.4893385510982024,0.8250908873868589,0.012042195788942934,0.866593657159486,0.11823679991258765,0.9750060579485327,0.9346947940713992,4.386360426621035,4.998312812436349
deco_lvl_3,0,29.253690650284042,27.729089649351835,0.9465120369418513,0.5244281544643076,0.9221053559599726,0.5244281544643076,0.6163003275259455,0.06823654193483407,0.7430619413160351,0.2203631077982297,0.9632700162217062,0.9348962182234406,4.084491660807151,4.997691586850749
deco_lvl_3,1,30.03822159328637,27.892819777774257,0.9894480908366894,0.6898530621787432,0.9692098580003865,0.6898530621787432,0.5333280872382987,0.0013889580252966645,0.7969906317882229,0.09455001946831211,0.9768146762313702,0.9553065686706085,4.529252037449596,4.9960816997793085
deco_lvl_3,2,31.099081066619814,28.075853547752914,0.9842560278253981,0.7040645633421453,0.9481287497506597,0.7040645633421453,0.5385895582101506,0.01814605938085055,0.7640205714286497,0.18181373876687007,0.9733475164267688,0.9522817013810317,4.166770282581343,4.800948218031888
deco_lvl_3,3,28.7197570442575,27.744055428131613,0.9671248687157653,0.4826267391046135,0.9657572873216479,0.4826267391046135,0.6540125011377853,0.011025937308434925,0.7708974411495071,0.11680045451352918,0.9658484071642809,0.9357251162556066,4.206817595774757,4.998357319074086
deco_lvl_3,4,28.63180538284678,27.760499496667283,0.9772220266512965,0.4863870026095399,0.9670249606007166,0.4863870026095399,0.6893877557611024,0.010283498758324777,0.7898058580616003,0.11247083663134061,0.9682446432405829,0.9342191091445418,4.269724647858132,4.998420829443672
deco_lvl_4,0,28.832620613059035,27.764652999996766,0.9382281094681149,0.5172696770953794,0.9019474989076639,0.5172696770953794,0.5212788920290283,0.042714450553562,0.6853322042254875,0.18514317113611112,0.9566811169183961,0.9334479996044469,3.965991718485753,4.997935803111824
deco_lvl_4,1,29.60772139762669,27.890943796028527,0.9878658947343533,0.6867313098326088,0.9575835868215334,0.6867313098326088,0.391808992759507,0.0008266853414211444,0.7475782552205055,0.08570771878501977,0.9750842282597194,0.9543436248924665,4.558408052621306,4.995421383444584
deco_lvl_4,2,30.39985007105286,28.075163264527685,0.9832107304409533,0.700588994923499,0.9325186848344695,0.700588994923499,0.43280441571063927,0.013584401341096349,0.7099064406297908,0.16797977388451388,0.9691227911352956,0.9512841965793278,3.6184583397498153,4.817447033501436
deco_lvl_4,3,28.287134710803375,27.778424862068825,0.956859661737609,0.4784926254965058,0.9426968522909841,0.4784926254965058,0.4919492172380715,0.007959834845924729,0.6868464309677957,0.10414191796547856,0.9565830577492161,0.9356772576465621,4.1136229185987485,4.998402990705166
deco_lvl_4,4,28.274818111881615,27.791212276334573,0.9668153823432795,0.47772301519557986,0.9438495767865215,0.47772301519557986,0.5085889401802572,0.006028757435453244,0.6974964775054509,0.09308002651190414,0.9592423066460635,0.9345223579011304,4.15716304715514,4.998526540775128
deco_lvl_5,0,28.746219303550767,27.782667316849338,0.9304773461699369,0.510498295341668,0.8900773736045805,0.510498295341668,0.4623349317532598,0.027583581899882706,0.6449830901296977,0.15527799406464743,0.9531010731385989,0.9337348440782062,4.028838139109029,4.998190781300909
deco_lvl_5,1,29.35819891955257,27.850001997176527,0.9842502112369977,0.6826054373790961,0.9586002900749264,0.6826054373790961,0.3593987382740925,0.0005584788399455295,0.7328243171158657,0.07903524301311535,0.9735846396095547,0.9547135636700573,4.330156294028584,4.996478983575675
deco_lvl_5,2,30.299457356828768,28.06085627592315,0.9834483741426928,0.7001240037812325,0.934444610459866,0.7001240037812325,0.4228932764898524,0.01277883045581943,0.7083814519192144,0.16479794520190683,0.9696490364125787,0.9513449269309405,3.7072566119608723,4.815312236084914
deco_lvl_5,3,28.076579281313478,27.819955492481498,0.9454790195897439,0.463917571184184,0.9177752631636438,0.463917571184184,0.36156846056644804,0.0024337037550789375,0.6156887367237635,0.07081976299421641,0.9512069199170281,0.9341887060988578,4.042496414555129,4.998660398508548
deco_lvl_5,4,28.023192791936225,27.84151738551448,0.9552368425960445,0.4676588898743651,0.918649998220029,0.4676588898743651,0.3676556490293011,0.0021234973353172473,0.6154812557329727,0.06686974089343131,0.9529406447989377,0.9307465045328246,4.06608037437571,4.998559074359905
lens_blur_lvl_1,0,29.89632924993622,27.71107033552282,0.7974495400716531,0.5150067720285293,0.8751166490031215,0.5150067720285293,0.32699614097562846,0.04809477827941428,0.4966834750740348,0.18342614901659848,0.9577644336498511,0.9329430630933001,4.857549141045501,4.998806867874458
lens_blur_lvl_1,1,28.567678163475815,27.92721341963912,0.9096385387233255,0.6832035875760254,0.7976227884758968,0.6832035875760254,0.4801587446065268,0.0019961277755662405,0.6744310161175113,0.10311856100127831,0.9698372141110786,0.9547196590546637,4.7807943992987925,4.996461803724499
lens_blur_lvl_1,2,28.971911423865926,28.058974090877086,0.923650269625303,0.696286494636017,0.8449668437526928,0.696286494636017,0.4507344149728741,0.014137431133786037,0.634910253780703,0.1686889015671255,0.9699983489837252,0.9491709085167915,4.82017027877036,4.880558902106715
lens_blur_lvl_1,3,29.705980203152723,27.738719130720337,0.8177398647077482,0.4720903461625335,0.9296848287838437,0.4720903461625335,0.4332391262519958,0.007310661836445697,0.5631602006340007,0.09301908438246195,0.9602163935187862,0.932968590801484,4.736732965335667,4.998929810335893
lens_blur_lvl_1,4,29.790150887572686,27.742336935165845,0.8220921240211283,0.47762399317294196,0.9298679403375874,0.47762399317294196,0.437253067782072,0.0071574193381270575,0.5639962096316083,0.09117786219180661,0.9599914644889966,0.9322524766044087,4.729933822991273,4.998919219748951
lens_blur_lvl_2,0,28.691957681323274,27.720556394667547,0.622227627499869,0.5025137314312959,0.7208443693645211,0.5025137314312959,0.07727978589656224,0.0307884719551721,0.22711075693940438,0.1510576895517683,0.9389791932278997,0.9288953202809102,4.98560449615711,4.9992186348974395
lens_blur_lvl_2,1,27.714239686718813,27.8547757706172,0.8264549660363059,0.6623533717554757,0.6529386891218951,0.6623533717554757,0.2942546373656923,0.00023502185401434855,0.5446429513755668,0.06651416217931157,0.9669167378108875,0.9532671461081809,4.998799176433792,4.995211730265827
lens_blur_lvl_2,2,27.971092672852485,28.032632128352336,0.853047268668364,0.6877805509910861,0.7014912110703472,0.6877805509910861,0.25255110853398416,0.010146306227158805,0.4741449651953103,0.15360283864748858,0.9655130546817665,0.9489032914553219,4.980041987842536,4.880015718546716
lens_blur_lvl_2,3,28.498789215120212,27.721298887763584,0.6150456514760335,0.45641218296897146,0.7969848994824328,0.45641218296897146,0.11629765067315123,0.0029631727514315134,0.2560332539807496,0.06858892247277289,0.9424495444072717,0.9294803148713612,4.927171442229792,4.999126989421328
lens_blur_lvl_2,4,28.517718284851725,27.72733660614824,0.6183631366523227,0.46318034138624287,0.7961483265074352,0.46318034138624287,0.12141770584370488,0.0030623282707993612,0.2571561543480323,0.06812109417284302,0.942005883348198,0.9265526959208046,4.928584808642605,4.999199856418869
lens_blur_lvl_3,0,28.080915704397775,27.738611357577806,0.5215740191445337,0.48750915714988385,0.6122706499684586,0.48750915714988385,0.019643937260648645,0.017294470073684405,0.1290583988494849,0.1261605882890307,0.9243850283089219,0.9282094790204186,4.993295645161246,4.999377210868467
lens_blur_lvl_3,1,27.7342810502115,27.858646995641784,0.7688936181633105,0.6482353267231103,0.5516571209636019,0.6482353267231103,0.17505404151228682,3.378169503686386e-05,0.4605925875220498,0.04387913385308714,0.963630166185615,0.951596839031393,4.9999817053100495,4.995240640492825
lens_blur_lvl_3,2,27.609110929262496,28.010310680915858,0.8096175668866692,0.6805548985416988,0.60601612941221,0.6805548985416988,0.16883353565183923,0.0074033965044143415,0.4041571656790153,0.1406966985580118,0.9625238656172481,0.9518481210835787,4.99722500291489,4.839968066993273
lens_blur_lvl_3,3,28.13509194453268,27.74163688362807,0.5142067144448408,0.4368810533460854,0.6562297056315363,0.4368810533460854,0.033038385419181415,0.0011510717795414737,0.13779419108715324,0.05164542893965826,0.9317454477244471,0.9279298834546125,4.979055394075691,4.999355770209186
lens_blur_lvl_3,4,28.12584803850452,27.756095851378916,0.5185674182987943,0.4437226322548078,0.6567301688998131,0.4437226322548078,0.034703487769940734,0.0012068512292484528,0.13952545843931755,0.051438810233435356,0.9309556083058432,0.9255353907418259,4.979828193404104,4.99941753013124
