Type of Noise,junk,PSNR_noisy,PSNR_denoisy,SSIM_noisy,SSIM_denoisy,CW-SSIM_noisy,CW-SSIM_denoisy,unique_noisy,unique_denoisy,ms_unique_noisy,ms_unique_denoisy,csv_noisy,csv_denoisy,summer_noisy,summer_denoisy
deco_lvl_1,0,37.895353733391254,27.745465924684588,0.9876551205949534,0.2573829649568602,0.999641026673014,0.2573829649568602,0.978815083615543,1.5119084083617135e-08,0.9758138789368561,0.006965055660493715,0.9883950458298707,0.933697443022153,4.7974103622981445,4.9924962084280144
deco_lvl_1,1,39.800320233030334,28.251564086683622,0.9922417578613365,0.3101978975920748,0.9976841252984492,0.3101978975920748,0.9766825406664521,1.7098758054972508e-14,0.9796245072135853,0.003360244936680216,0.9895429137864988,0.9382469547449068,4.826233533411101,4.975624548839358
deco_lvl_1,2,39.261920944767624,27.945910573549217,0.9965969144105264,0.16118410242200928,0.9995493880974039,0.16118410242200928,0.9818818904331519,4.4718684294753113e-07,0.9801955090612376,0.009541438287245277,0.990360120201744,0.9349857628989208,4.819380984995878,4.994261971398096
deco_lvl_1,3,39.10055542376107,28.321907115267962,0.9924162303414131,0.2776061813318955,0.9993592962080039,0.2776061813318955,0.9731044445774287,2.1949071251179085e-09,0.9761858483615176,0.0077715714368108415,0.98920630871959,0.9354715551146603,4.805552199813043,4.997301510597177
deco_lvl_1,4,39.829853647742326,28.133776970523282,0.9976184410648221,0.14437612745518472,0.9995409252455935,0.14437612745518472,0.9790999006574166,6.400506260086428e-08,0.9804867902301442,0.007282826001271572,0.9904109560936901,0.9285086066751463,4.799393109060462,4.995355420629509
deco_lvl_1,5,38.63010633422492,28.40144680209864,0.9899979580157261,0.2934778626086789,0.9990177624404433,0.2934778626086789,0.9717476762134697,1.4069380763501834e-07,0.9745115575707113,0.01350997837087832,0.9890107910405331,0.9316108077303299,4.8026087723340645,4.997081316220605
deco_lvl_1,6,39.439319916917064,28.043005661318645,0.9916369482572959,0.38042561553633264,0.9986556464219709,0.38042561553633264,0.9750628745950828,7.277562775647206e-06,0.9757962952077783,0.019833246538243976,0.988856966981778,0.9407633017895387,4.813048688580314,4.976488780005787
deco_lvl_1,7,40.37275436732439,28.28029536333272,0.9927763485509301,0.3216170596776176,0.9997316350007195,0.3216170596776176,0.972317273660785,8.726576576360042e-08,0.973988785863647,0.011448257389908888,0.9902515986661011,0.9289182496026263,4.830169519447213,4.997865259925508
deco_lvl_1,8,39.95918152853558,28.214497424835745,0.9935499242685792,0.3795687947831392,0.9987526705377314,0.3795687947831392,0.9748582799574177,7.89466803648449e-09,0.9745052416549769,0.008903010070220216,0.9893752559238371,0.9303229000987545,4.825769372372223,4.994812463000641
deco_lvl_1,9,39.778120464672455,28.06611445923281,0.9958055238207776,0.18748362465357207,0.9994151646524404,0.18748362465357207,0.9809744640203892,1.1127871604922118e-08,0.9781219080275535,0.004388611046202644,0.9900086140968525,0.9296009439841102,4.813162618408243,4.997602283026492
deco_lvl_2,0,34.59210161175604,27.748910924695135,0.9875081857259596,0.2577740353708476,0.9995222276424969,0.2577740353708476,0.9649186344450482,1.6526674723464388e-08,0.9654934034080861,0.007043257869344034,0.9847730170761106,0.9337909457804204,4.719522388765763,4.992511674852494
deco_lvl_2,1,36.052344691958154,28.25188933754408,0.991558079295911,0.3104831012241708,0.9963631190687268,0.3104831012241708,0.9356591004908096,1.8260087574483328e-14,0.9612694698920956,0.0033802296717523246,0.9864664840740827,0.9382873644474943,4.7428619412104025,4.9756603326515165
deco_lvl_2,2,34.99986828156217,27.941660289153578,0.995766714627081,0.16125418071825795,0.9991571412027633,0.16125418071825795,0.9571611658713216,4.772265442998896e-07,0.9650651148884575,0.00965205625365042,0.9863492200082373,0.9349726703795103,4.742412958694053,4.994271647820877
deco_lvl_2,3,35.43153474119693,28.323815118832915,0.9916911703186513,0.2777948819041753,0.9986550878253169,0.2777948819041753,0.9356672177492189,2.39912053057733e-09,0.9577205196411677,0.007825005210913161,0.9864146629772987,0.9355444501125525,4.728807472990491,4.997332068644031
deco_lvl_2,4,35.774375780481236,28.137832826926736,0.996665057690681,0.14463917567109244,0.9991352858089386,0.14463917567109244,0.9452771742772126,6.281813594945875e-08,0.9628127657192933,0.0072665673062668424,0.9850483960949387,0.928175548266732,4.679118146168529,4.9952382983078
deco_lvl_2,5,35.02577371962241,28.404332873607387,0.9864863668981614,0.29351832220665725,0.9980027024955909,0.29351832220665725,0.9193152988003654,1.430776695659233e-07,0.9475251134016645,0.013498964895813788,0.9857939844422113,0.931601564509072,4.7362297656223635,4.997068087695466
deco_lvl_2,6,35.56565757298458,28.046285163294975,0.990795188325712,0.3807446165127294,0.9982690953209313,0.3807446165127294,0.9335661191675766,7.5272620363746425e-06,0.9526349625828177,0.020045505044936057,0.9850496277391887,0.9408886110338613,4.725561148546822,4.976940984105456
deco_lvl_2,7,36.64823090013661,28.274859213520234,0.9923997665690136,0.32179344062459614,0.9994388218574903,0.32179344062459614,0.9339974794751991,8.732283685621844e-08,0.9545923843534261,0.011493208060797809,0.9873393247046537,0.9289872059954397,4.753330956624058,4.997889681570868
