,noise_type,noise_level,PSNR_noisy,PSNR_denoisy,SSIM_noisy,SSIM_denoisy,CW-SSIM_noisy,CW-SSIM_denoisy,unique_noisy,unique_denoisy,ms_unique_noisy,ms_unique_denoisy,csv_noisy,csv_denoisy,summer_noisy,summer_denoisy
218,Dirty Lens 1,2,28.220516465991913,30.18397538959011,0.37966865587909565,0.5392900319982129,0.4471278237199608,0.5392900319982129,0.014049677601178017,0.02539581621989647,0.2570771937393971,0.35933236080706604,0.960444653037319,0.9654756399273645,2.063825459282319,2.489632289651433
219,Dirty Lens 1,2,27.999171938214495,29.91444055635714,0.379756761179204,0.5004842806183629,0.6084592150986626,0.5004842806183629,0.07153176508282644,0.1607358805833442,0.4333794225802361,0.5747693579340377,0.9585519396624159,0.9656880579376752,2.954295510080241,2.6138634425067124
220,Dirty Lens 1,3,27.83168782538663,29.74503855119385,0.2543096848469266,0.4738918521785602,0.3652655498646005,0.4738918521785602,0.001424189200682361,0.006339245325165959,0.13270421401547067,0.29549853873034293,0.9548035177805848,0.9640569714762839,1.3998693425371318,1.6640074704041996
221,Dirty Lens 1,3,27.914993101868273,29.43784377795408,0.26704131514632357,0.41424010257404714,0.4403861232057537,0.41424010257404714,0.002724574527383356,0.010861980457298767,0.15266764184182754,0.29078572016913073,0.9547979131642815,0.9609669625919627,1.9133284889326947,2.0912414840298394
222,Dirty Lens 1,3,28.09962138326121,29.697038387402046,0.25227918780169273,0.4789614482159233,0.34841309785313257,0.4789614482159233,0.000774017868567637,0.00245654214313584,0.09609068837070568,0.1810265829079949,0.9556843335684173,0.9636510875742376,0.8280918768873666,1.4755842178685525
223,Dirty Lens 1,3,27.8220004030274,29.342911444031845,0.2740122015421828,0.4197469902584213,0.4979657967194211,0.4197469902584213,0.009254633719626988,0.04389148017522439,0.21022448451590384,0.38838354024327615,0.9547121523668222,0.9603892042270291,2.682848740670784,2.4098777371899276
224,Dirty Lens 1,3,27.759624940436257,29.4877678225803,0.26791722924999695,0.45060606780409745,0.44282245688895316,0.45060606780409745,0.002273683872447971,0.008150010806385855,0.13308922805097145,0.25883608967688576,0.9542408640438609,0.963392819807783,1.98376346190482,2.3432376614041743
225,Dirty Lens 1,3,27.85403456143413,29.815298512380693,0.25124039678091403,0.47065215763838497,0.37464553908848963,0.47065215763838497,0.0014202913100211994,0.004605972235345162,0.1318410872937851,0.2744091569525506,0.9535743318686987,0.9632120272526571,1.888758108549663,2.451543195182218
226,Dirty Lens 1,3,27.880685920324034,29.752276178407975,0.25422746251612066,0.4728009569513818,0.3841579504852872,0.4728009569513818,0.0012801789283521199,0.004058656159206606,0.11815247326503762,0.2328874617779596,0.9562291077456254,0.9652423858649415,2.0018241003811763,2.702479816699264
227,Dirty Lens 1,3,27.77686944402724,29.65605395375487,0.27130918979861635,0.45782399943779106,0.40362220378427366,0.45782399943779106,0.002423986321237531,0.011701499427045202,0.16113770675679526,0.3422427863722276,0.9551451089256675,0.9636638894598571,2.329977585377496,2.7341684334007472
228,Dirty Lens 1,3,27.913401240963005,29.62919122309962,0.256206720917888,0.47619281538868574,0.37898186385564525,0.47619281538868574,0.001098141485501674,0.0037525607278337133,0.11602444262853151,0.22977104501849716,0.9540996286288513,0.9630257165573283,1.4875209719723035,2.168005179735481
229,Dirty Lens 1,3,27.757492832303242,29.376586015248897,0.2579109450280027,0.39692512362308763,0.5243858070574989,0.39692512362308763,0.0140934573718805,0.06531919449695539,0.24022626838922795,0.40063385207595237,0.9523914470845269,0.960340556912214,2.2869481088895642,1.7851919549550213
230,Dirty Lens 1,4,27.756949632402307,29.443454581828963,0.17563192171926095,0.42075729012383895,0.31625736736993093,0.42075729012383895,0.00010986437186431976,0.0012312153672727703,0.06080952929652551,0.19022542924697905,0.9502299965862072,0.9596182929849628,1.0630710335933213,1.3227917568585976
231,Dirty Lens 1,4,27.81052254588191,29.154261760055356,0.18417845561203966,0.35607860868699565,0.3836800890043172,0.35607860868699565,0.0002627388537286066,0.0026480609071382584,0.06986363517165034,0.1778731753424217,0.9504913625522662,0.9571258264670846,1.495867006500622,1.9038454967628995
232,Dirty Lens 1,4,27.903250182598658,29.43667725178557,0.17405648171941754,0.45169804847005884,0.30397401470561475,0.45169804847005884,4.145656331891553e-05,0.0002703351889529064,0.04312004382270744,0.11936461145995979,0.9510121844499292,0.9618395148919656,0.6440266418625402,1.420424615500292
233,Dirty Lens 1,4,27.772634883903883,29.06467312342897,0.192527011301917,0.34908737047317984,0.43475679455812466,0.34908737047317984,0.0011480010890790257,0.013198001135453743,0.09582914573477455,0.23714007797193887,0.9496350857811968,0.9545504138397519,2.1304772615799035,1.8456251224140872
234,Dirty Lens 1,4,27.762707966986735,29.207304462571887,0.18445126077174612,0.3990651445545979,0.3894014985247659,0.3990651445545979,0.00019568265008409094,0.0016857644786658936,0.0592084823638806,0.1565827899810093,0.9490305423973842,0.959733416202802,1.5426347306993113,2.0993148281559653
235,Dirty Lens 1,4,27.767842814929473,29.45957015884614,0.17336631497462723,0.42322980933308796,0.3257848882270947,0.42322980933308796,0.00011019804295677355,0.0007167592473219411,0.0628670357604814,0.18019335665237998,0.9494463116835495,0.9602312749392268,1.4456207621317136,2.209592157273553
236,Dirty Lens 1,4,27.78889248940175,29.46246691477956,0.17596114816888386,0.43466783677157556,0.3348081133910832,0.43466783677157556,8.979190344533548e-05,0.0006084330699446499,0.05401883451536922,0.15079960698581685,0.9513639121791464,0.9620699377951472,1.5597884785714826,2.5525623270912807
237,Dirty Lens 1,4,27.750111128526257,29.34513097559758,0.1891688782587816,0.38878201162919646,0.3486959712917117,0.38878201162919646,0.0002238259503497073,0.0026658804386441915,0.0730666531573798,0.21257729847313764,0.9499542944730481,0.9586888886801996,1.8160574732989958,2.13869639482677
238,Dirty Lens 1,4,27.802703048581133,29.35852742660304,0.17612724396556112,0.4362115548912899,0.3292232658161928,0.4362115548912899,7.781623397755519e-05,0.0005933917603815434,0.05303517446330595,0.14779600634131088,0.9495927352386861,0.9605560688764385,1.1447648498285232,2.031155600579477
239,Dirty Lens 1,4,27.755513115048526,29.093225188515483,0.17771432168002127,0.32245082137594794,0.4474449247994899,0.32245082137594794,0.0017454925762156385,0.01749939355532192,0.11423398767542042,0.23132078846787696,0.9479950113152235,0.9521526892989924,1.778951990350085,1.3490429664199945
