,Noise Type,PSNR_noisy,PSNR_denoisy,SSIM_noisy,SSIM_denoisy,CW-SSIM_noisy,CW-SSIM_denoisy,unique_noisy,unique_denoisy,ms_unique_noisy,ms_unique_denoisy,csv_noisy,csv_denoisy,summer_noisy,summer_denoisy
11,Contrast Adjusted,28.844573029278134,28.803034326683573,0.8992654950132155,0.8575399602066427,0.9301988308004737,0.8575399602066427,0.9157422389127733,0.9007500143717566,0.891267481320211,0.8801521248338413,0.9793031640173386,0.9728943152411003,2.8630172555338698,2.81313933055214
12,Noise,28.37531529582656,28.719199269091327,0.3625958180809527,0.4535303027945047,0.8783329110919258,0.4535303027945047,0.47944047880273266,0.48840954830711264,0.713000245082742,0.7196710172414973,0.9779031696060789,0.9735931884618318,4.186061817527212,4.110346458352593
13,Noise,28.407754336063817,28.686906999013253,0.29599359461712355,0.3859484428365694,0.8274290611237699,0.3859484428365694,0.4331635902758895,0.43710270827572495,0.6768386316464986,0.6798773477199894,0.9808954264912667,0.9744388644029183,4.036605494134796,3.911052024003398
14,Noise,28.412366913546595,28.719020189128457,0.3974289108182984,0.4993025088762646,0.9634868056060475,0.4993025088762646,0.5825945758747675,0.5869784220392552,0.7201766946309167,0.72282852712871,0.9819566467116206,0.9761366301892154,4.157725803575826,4.051370061858005
15,Noise,28.42123268091417,28.66781679040698,0.5098769803224268,0.6104079517304104,0.9625936092046747,0.6104079517304104,0.6773236001441246,0.6810091572740731,0.760084167126877,0.7634274051962433,0.9806424650001562,0.9761756782593567,4.142824971961225,4.024261450264875
16,Noise,28.41261015148597,28.649200633875044,0.48675681922929276,0.5749955950628758,0.9325161643741847,0.5749955950628758,0.6450460570294279,0.6479515248001559,0.7688448807928672,0.7707495420844955,0.9834697514421712,0.9770840303202923,4.125543116359761,4.0024617340068485
17,Noise,28.39881944546683,28.66813851116032,0.4018544827978241,0.4878490730118017,0.8595508074642669,0.4878490730118017,0.54426511682123,0.5473853531949692,0.7205629472127949,0.7228682572575231,0.9785467687185082,0.9736586919328323,4.101869565016721,3.9808201455164416
18,Noise,28.4820644793029,28.770660175597218,0.41119748994433253,0.5037247700538631,0.9227343499098685,0.5037247700538631,0.5787445984074561,0.585844858717124,0.7408618594929681,0.7452360074240783,0.9800884432329566,0.9740431272803816,4.163005044379555,4.073657497577653
19,Noise,29.6325164639306,29.18739989298129,0.6256470784187386,0.7666088660166966,0.9833605632662321,0.7666088660166966,0.8059694207977078,0.8079690529341564,0.8781675376000943,0.8793874236474454,0.9874044306555738,0.9853532483606918,4.38066112157079,4.219911512714859
20,Noise,29.661062587272475,29.209380138014858,0.7284226587554838,0.8085207505615086,0.9892781593532052,0.8085207505615086,0.8491024394369142,0.8515977637768778,0.8953384133063926,0.8967379472285053,0.9874111243609509,0.9851558848857004,4.408158639771809,4.248706990028081
21,Noise,29.65347840584848,29.214178200073594,0.6823857313386844,0.793575868885624,0.9300412568661683,0.793575868885624,0.7967230147264227,0.7991330484168611,0.8864292019370873,0.8875790187452148,0.9856609935016114,0.9812670191636194,4.399888272471085,4.245768178134283
22,Noise,29.656080002544915,29.19604483496073,0.6982630875351803,0.7996703676673083,0.9846171351184559,0.7996703676673083,0.8366132763379142,0.8379633589915609,0.8864941181139183,0.8871695437850822,0.9880227731885076,0.9856821125779995,4.407612564789135,4.249326126090646
23,Noise,29.62109580127347,29.206064965955534,0.714143640041679,0.8065134194711532,0.9695793243410249,0.8065134194711532,0.8213044014023723,0.8228425856331365,0.8849503134020816,0.8852497215749597,0.9872910089291573,0.9826120713962753,4.385797075305136,4.227030735822069
24,Overexposure,27.593326565734976,28.16434783709378,0.7553392098532112,0.7838608690798025,0.6983712605779313,0.7838608690798025,0.521030519289671,0.5286623762027141,0.6758739991837959,0.6805079156445728,0.9576750174025381,0.9545847833267813,2.4286817955932527,2.4219272993591936
25,Overexposure,28.78716855478534,27.81238688691795,0.7365362434257858,0.7447825882835358,0.5868307979565078,0.7447825882835358,0.09235360734258358,0.0973569348166595,0.38629866916834493,0.3923815757335093,0.9560819840718657,0.9562405218126003,3.1455886217267723,3.1373001578728776
26,Overexposure,27.741269129114734,27.532391449924333,0.6542701528918354,0.6675321728137145,0.845574703287529,0.6675321728137145,0.30548750146937853,0.31387115250151626,0.49363564872140636,0.4991652144664158,0.9537848464632315,0.9528792816029737,2.8383879179025757,2.8247671144200837
27,Overexposure,27.748166527966546,27.515079140125607,0.5762704533504136,0.583921572275785,0.7490772773418006,0.583921572275785,0.21646038908754167,0.22024827683968268,0.33147224540472675,0.3346898701946779,0.9495632431290962,0.9491674859602064,2.6902228648368913,2.688271979226598
28,Overexposure,27.641575089371564,27.413256293851575,0.7226586025426606,0.7373083352812658,0.8406736339953158,0.7373083352812658,0.28684615907780636,0.29826942384083166,0.45860895660566414,0.4676863440789094,0.9651164667412673,0.9636093601231693,2.79569090114771,2.776806491730699
29,Overexposure,27.449267847704807,27.3471519935825,0.6867381110195437,0.6888720091427984,0.5452879764488976,0.6888720091427984,0.17610939928115504,0.184637136837852,0.3998645000080269,0.40662616169222215,0.9515772591588614,0.9520089238015623,3.5431254611233296,3.5415528779923022
30,Overexposure,27.88349783305078,27.79296575373888,0.7128477353279861,0.742405495712273,0.7415531378575596,0.742405495712273,0.4068189391538324,0.4201608990736608,0.553390960685338,0.5612871163422252,0.9581262216930788,0.9548412988416956,2.4551532507437885,2.461115005752995
