,Noise Type,PSNR_noisy,PSNR_denoisy,SSIM_noisy,SSIM_denoisy,CW-SSIM_noisy,CW-SSIM_denoisy,unique_noisy,unique_denoisy,ms_unique_noisy,ms_unique_denoisy,csv_noisy,csv_denoisy,summer_noisy,summer_denoisy
0,Contrast Adjusted,27.953763205569743,27.611385620207486,0.803499222443274,0.36261990048660425,0.9540755452419032,0.36261990048660425,0.8764658115856429,0.0002339992844852131,0.8941356485648629,0.04565558811290574,0.9781958862556122,0.9399211266537103,3.344733430140092,4.9828883859109325
1,Contrast Adjusted,28.550408440873966,28.308623296279833,0.919771090275184,0.4925949042894534,0.926084844007856,0.4925949042894534,0.940067444629695,4.557045241915802e-07,0.9369005617280438,0.01786751589083567,0.9830345691693616,0.9419595717878593,2.92643981996072,4.980461483147071
2,Contrast Adjusted,27.925830729045256,27.83687086926307,0.8824666130516773,0.363164509042111,0.9303056840123061,0.363164509042111,0.895083111810905,2.609887250803083e-07,0.8818414681458567,0.010183773246714909,0.9777527751696449,0.9322350331462245,2.8801799828546573,4.990903160848134
3,Contrast Adjusted,28.12900612772523,27.960526076642704,0.8127082939172546,0.257438807091773,0.9404648117771393,0.257438807091773,0.8865707353497154,0.001224844900831206,0.8701001795980895,0.0495416881207823,0.9746040909382505,0.93488510949829,2.892172488932948,4.995000913284605
4,Contrast Adjusted,28.092817696411384,27.88501113682951,0.9017936224747095,0.3000509868639605,0.9242901952943976,0.3000509868639605,0.93755158390759,1.663029488969196e-11,0.9252371052433284,0.0038011891047292695,0.9815554600017657,0.923215796009054,2.6411005148218027,4.987797575276139
5,Contrast Adjusted,27.768569254368177,27.998378890366418,0.9306172199619935,0.34802354030741267,0.9262508192588689,0.34802354030741267,0.9415558211722928,4.115720914743272e-08,0.9232559046298998,0.008535266717047837,0.982820049906207,0.9293049302813917,2.7029021028135842,4.8036621321944954
6,Contrast Adjusted,27.98151664168858,27.702076629988284,0.7597794369952917,0.3281627073547345,0.9436034965932899,0.3281627073547345,0.8573239205313212,1.0811288639911372e-05,0.8708307080677603,0.021473839018782498,0.9742339135492717,0.9366477252930019,3.065864316183324,4.97290143432695
7,Contrast Adjusted,28.195500869752724,28.00143316597073,0.892066201640468,0.37225818963222085,0.9242312851322988,0.37225818963222085,0.9388520735905177,4.039464600564429e-05,0.9234157597695691,0.02890722402886374,0.9828067802230674,0.9395946454607472,2.734378572126974,4.969067886051204
8,Contrast Adjusted,28.228400927305902,27.873086600378766,0.8486535289905969,0.27829055454962587,0.9315268910249844,0.27829055454962587,0.9302565623383764,0.0003577378050397072,0.9120391691801444,0.04623353319768826,0.9782548763942702,0.9352075669910231,2.7615750621473434,4.9844379757969985
9,Contrast Adjusted,28.627659682564875,27.817157898782007,0.8716200900013558,0.30616092740733597,0.9251227100282746,0.30616092740733597,0.9093674423101903,0.0002012912855832865,0.8933587300594468,0.03874478930707573,0.9793082312990746,0.9442812334237412,2.9425965187245158,4.938160516041423
10,Contrast Adjusted,28.3500992839391,27.904775837957438,0.855541605778418,0.27832487414893115,0.92364436023609,0.27832487414893115,0.939075346291529,0.00016079566487204791,0.9128234418024763,0.037556452559546906,0.9841510308822982,0.9372569795430143,2.688670708383778,4.981174503848123
11,Contrast Adjusted,28.844573029278134,28.019701143856764,0.8992654950132155,0.2656392890459476,0.9301988308004737,0.2656392890459476,0.9157422389127733,2.2654821697442696e-05,0.891267481320211,0.022782882361345874,0.9793031640173386,0.9320660971304531,2.8630172555338698,4.893532584491345
12,Noise,28.37531529582656,27.614078031235636,0.3625958180809527,0.37270467655586886,0.8783329110919258,0.37270467655586886,0.47944047880273266,0.00017815533612278476,0.713000245082742,0.042711286662443226,0.9779031696060789,0.941486269217788,4.186061817527212,4.991752747952797
13,Noise,28.407754336063817,28.241978315275755,0.29599359461712355,0.5063704244024294,0.8274290611237699,0.5063704244024294,0.4331635902758895,1.4353701901608234e-07,0.6768386316464986,0.016987789663790172,0.9808954264912667,0.9431023028509247,4.036605494134796,4.992455127501772
14,Noise,28.412366913546595,27.79101658134024,0.3974289108182984,0.37758575934655464,0.9634868056060475,0.37758575934655464,0.5825945758747675,7.943673985504224e-07,0.7201766946309167,0.013051514295228044,0.9819566467116206,0.9353924914853051,4.157725803575826,4.992202104881017
15,Noise,28.42123268091417,27.87063924874175,0.5098769803224268,0.25712029398507424,0.9625936092046747,0.25712029398507424,0.6773236001441246,0.0009796884922292789,0.760084167126877,0.045915751767202195,0.9806424650001562,0.9350454857506284,4.142824971961225,4.9974101415024155
16,Noise,28.41261015148597,27.852654044234217,0.48675681922929276,0.3168513233897424,0.9325161643741847,0.3168513233897424,0.6450460570294279,1.8973719212181986e-10,0.7688448807928672,0.004933109482598541,0.9834697514421712,0.9250427937551314,4.125543116359761,4.993387107311572
17,Noise,28.39881944546683,27.927619395945978,0.4018544827978241,0.3659179665529132,0.8595508074642669,0.3659179665529132,0.54426511682123,3.449298968795712e-10,0.7205629472127949,0.005762100901228322,0.9785467687185082,0.9314598332329246,4.101869565016721,4.883812031594254
18,Noise,28.4820644793029,27.7003544595914,0.41119748994433253,0.3288024369669473,0.9227343499098685,0.3288024369669473,0.5787445984074561,2.7035751200094955e-06,0.7408618594929681,0.01675388347350075,0.9800884432329566,0.9371749457431913,4.163005044379555,4.984278904608997
19,Noise,29.6325164639306,28.033213737744948,0.6256470784187386,0.3956161217727025,0.9833605632662321,0.3956161217727025,0.8059694207977078,1.1810448385649231e-05,0.8781675376000943,0.025207687125991918,0.9874044306555738,0.9386129794048839,4.38066112157079,4.9824553892623875
20,Noise,29.661062587272475,27.80710194890659,0.7284226587554838,0.2851743848227388,0.9892781593532052,0.2851743848227388,0.8491024394369142,5.13700101310031e-05,0.8953384133063926,0.03047977240678718,0.9874111243609509,0.9384391493934827,4.408158639771809,4.990532848718177
21,Noise,29.65347840584848,27.842776948617512,0.6823857313386844,0.3105052180083784,0.9300412568661683,0.3105052180083784,0.7967230147264227,3.2319546669256765e-05,0.8864292019370873,0.025109492661986275,0.9856609935016114,0.9433145364339944,4.399888272471085,4.975877292720056
22,Noise,29.656080002544915,27.880215082056985,0.6982630875351803,0.29813109504201635,0.9846171351184559,0.29813109504201635,0.8366132763379142,9.664878642698298e-05,0.8864941181139183,0.03376178048099811,0.9880227731885076,0.9357443040194358,4.407612564789135,4.989149524343853
23,Noise,29.62109580127347,28.041931872523822,0.714143640041679,0.2833026793865369,0.9695793243410249,0.2833026793865369,0.8213044014023723,1.0685500411710885e-05,0.8849503134020816,0.020844590370652775,0.9872910089291573,0.9333825811598607,4.385797075305136,4.947318104443811
24,Overexposure,27.593326565734976,27.685134760674003,0.7553392098532112,0.35320496315387206,0.6983712605779313,0.35320496315387206,0.521030519289671,1.6429490013049093e-05,0.6758739991837959,0.024599789443138613,0.9576750174025381,0.9376358745239349,2.4286817955932527,4.979833342619109
